# Cross-Document Technical Audit:

## 1. TRADE PACKAGE: STRUCTURAL STEEL

**Baseline Scope:**
- Structural steel generally grade S355/S355JR to EN/NBN EN 10025 and hollow sections to NBN EN 10210.
- Design to Eurocodes including NBN EN 1990/1991/1993 (and EN 1993-1-10, EN 1993-1-8 where stated).
- Execution to EN 1090-2, Execution Class EXC2; NSSSBC 5th Edition referenced for primary frames.
- Connection design, erection tolerances and QA regime defined across primary frames, secondary steel, and interfaces.
- Bolting: non-preloaded bolts to NBN EN 15048; high-strength preloaded assemblies to NBN EN 14399 where required.
- Welding to EN 1011 and NBN EN ISO 9606-1 with associated structural detailing and inspection requirements.
- Scope includes:
  - Primary frames, beams, columns, baseplates and holding-down assemblies (H.D.A.).
  - Secondary steel for cladding, parapet cappings, flashings, louvres, canopies, doors/windows, roof liners, roof penetrations, movement joints.
  - Steel supports for Eurobond/Euroclad/Kingspan roof and wall systems and diaphragm action of roof decks.
  - Generator and USS trench beams/frames and similar embedded steel.
  - Cooling tower gantry frames (Shell A) across Phases 1–4 including integration between phases.
  - Structural supports for RMUs, battery boxes, plant, AHUs, and tray/pipe support interfaces.
  - External access steel (stairs, ladders, walkways, bumper rails) designed in conjunction with EN ISO 14122.
  - Miscellaneous structural frames for roller shutters, doors, smoke extract louvres, AOVs, and openings.
  - Steel interfaces (kickers, bolts, H.D.A.) cast into foundations, pad foundations, plinths and slabs across all phases.
- Anchor bolts, confinement angles and grout requirements consistently defined for all interfaces to foundations and slabs, with survey/QA procedures for H.D.A. setting-out.

**Scope Variations / Inclusions:**
| Phase | Zone | Scope Description | Deviation / Note |
  - Hot-dip galvanizing of external steel to EN ISO 1461 and EN ISO 14713-1, with venting and distortion control rules.
  - Touch-up and repair of galvanizing to EN ISO 17463 and defined site repair regimes.
  - Coordination between primers, intumescent and topcoats per environmental exposure.

**Scope Variations / Inclusions:**
| Phase | Zone | Scope Description | Deviation / Note |
|-------|------|-------------------|------------------|
| CSA PHASE 1 | FSA - Structural Steel – Corrosion Protection | C2 internal and C4 external regimes; blast cleaning to EN ISO 8501-1; DFT checks to EN ISO 2808; external steel incl. roof access steel and external stairs/rails hot-dip galvanized to EN ISO 1461/14713-1 with venting and repair rules. | Establishes global corrosion regime for structural and access steel. |
| CSA PHASE 1 | FSA - Envelope – Corrosion Protection | Shop priming and galvanizing for envelope metal fabrications with C4 external requirements to EN ISO 12944-2 and EN ISO 1461; exclusions for surfaces against concrete and fireproofed areas; defined touch-up for secondary steel (internal painted, external galvanized). | Clarifies exclusions and dual internal/external treatments. |
| CSA PHASE 1 | FSA - Roof – Corrosion Protection | Roof steel protection per EN ISO 12944; clean steel surfaces before deck installation; roof deck base steel protection per EN 10346; coordination with global paint/galvanizing regime. | Emphasizes cleanliness and deck base material protection. |
| CSA PHASE 1 | DCH - Structural Steel PH1 – Corrosion Protection | C2 internal paint systems per EN ISO 12944; external misc steel galvanized to EN ISO 1461/14713-1; shop priming exclusions in fireproofed/encased areas; DFT checks. | Aligns DCH with global corrosion strategy. |
| CSA PHASE 1 | DCH - Envelope PH1 – Corrosion Protection | Metal fabrication corrosion systems incl. priming and galvanizing for external C4; galvanized touch-up to EN ISO 17463; consistent with overall regime. | C4-focused treatment for envelope secondary steel. |
| CSA PHASE 1 | DCH - Roof PH1 – Corrosion Protection | Corrosion systems for external roof steel/walkways/stairs to C4; deck base material protection per EN 10346; C2 paint or galvanizing for roof structural steel as applicable. | Clarifies internal vs external on roof members. |
| CSA PHASE 1 | Generator Trench Structural Steel – Corrosion Protection | C2 internal paint systems per EN ISO 12944; blast cleaning and DFT measurement rules. | Internal trench environment; no galvanizing implied. |
| CSA PHASE 1 | USS Trench Structural Steel – Corrosion Protection | Internal C2 paint systems per EN ISO 12944; surface prep and DFT control to EN ISO 2808. | Same as generator trench. |
| CSA PHASE 1 | Cooling Tower Gantry - Structural Steel PH1 – Corrosion Protection | Full galvanizing to EN ISO 1461/14713-1 for all gantry steel; venting and distortion control; touch-up and repair to EN ISO 17463. | Dedicated fully galvanized external gantry system (C4). |
| CSA PHASE 1 | MYD - Densified - Water Cooled Structural Steel PH1 – Corrosion Protection | Galvanized finish for RMU/battery supports and gantry steel with touch-up after erection; C4 requirements as for external metal fabrications. | Confirms C4 galvanizing for associated plant supports. |
| CSA PHASE 1 | EYD Foundations PH1 / Gantry Pads / H.D.A. Supply | Corrosion Protection “See Corrosion Protection”. | Interfaces expected to follow adjacent structural steel regime. |
| CSA PHASE 1 | Site Development PH1 (Fencing and Bollards CSA PH1) – Corrosion Protection | External metal fabrications (bollards, fences) to receive galvanizing and/or C4 paint systems per EN ISO 12944-2 and EN ISO 1461; touch-up and priming rules. | Defines C4 external protection for site barriers. |
| CSA PHASE 1 | DCH & FSA Cladding Secondary Steel PH1 – Corrosion Protection | Shop priming and C4 galvanizing; internal/external environment classification to EN ISO 12944-2. | Confirms corrosion regime for secondary cladding steel. |
| CSA PHASE 1 | Steel Decking FSA/DCH PH1 – Corrosion Protection | “See Corrosion Protection”. | Deck base galvanized per EN 10346; no extra detail here. |
| CSA PHASE 1 | FSA/DCH Intumescent Protection PH1 – Corrosion Protection | “See Corrosion Protection”. | Coordination of intumescent and corrosion systems implied. |
| CSA PHASE 1 | USS Trench Structural Steel (duplicate) – Corrosion Protection | “See Corrosion Protection”. | Confirms same trench regime. |
| CSA PHASE 1 | Steel Supports in EYD Slabs / Gantry – Steel Foundations Interface | Corrosion Protection “See Corrosion Protection”. | Interfaces follow adjacent steel classification. |
| CSA PHASE 1 | FSA & DCH External Steelwork/Metalwork PH1 – Corrosion Protection | Galvanizing procedures and C4 coatings for external stairs, ladders, railings and walkways; EN ISO 12944-2 and EN ISO 1461. | Reiterates C4 galvanized regime for external access steel. |
| CSA PHASE 1 | DCH global zones | Corrosion Protection “See Corrosion Protection”. | Cross-references. |
| CSA PHASE 1 | Security Fence & RSA Steel Works PH1 – Corrosion Protection | Galvanizing and/or C4 protective systems for RSA steel fence posts to EN ISO 12944-2 and EN ISO 1461. | Aligns RSA fence with C4 regime. |
| CSA-RSA PHASE 1 | RSA - Security Fence & Infrastructure – Corrosion Protection | C4 external systems with galvanizing to EN ISO 1461 for security perimeter metal fabrications. | Confirms perimeter fence/ gate protection. |
| CSA-SSA PHASE 1 | SSA - Structural Steel – Corrosion Protection | Full galvanizing of SSA frame to EN ISO 1461 with touch-up to EN ISO 17463; C4 environmental performance. | Entire SSA frame treated as galvanized C4 system. |
| CSA-SSA PHASE 1 | SSA - Roof – Corrosion Protection | “See Corrosion Protection”. | Roof deck base galvanized by product; frame as above. |
| CSA-SSA PHASE 1 | SSA - Envelope – Corrosion Protection | C4 corrosion systems and galvanizing for external components. | Matches global external regime. |
| CSA-SSA PHASE 1 | SSA Foundations / SSA Site Development / AHU Foundation | Corrosion Protection “See Corrosion Protection”. | Minor steel follows project regime. |
| CSA PHASE 2 | DCH - Structural Steel / Envelope / Roof PH2 – Corrosion Protection | Corrosion regime consistent with Phase 1: internal C2 paint, external galvanized steel for gantries/external access; paint/galv per EN ISO 12944 & EN ISO 1461. | Ensures continuity across phases. |
| CSA PHASE 2 | MYD / Cooling Tower Gantry PH2 – Corrosion Protection | Galvanized finish for RMU/battery supports and gantry steel; hot-dip galvanizing to EN ISO 1461; C4 classification. | Extends full galvanizing to Phase 2 gantry and MYD supports. |
| CSA PHASE 2 | Gantry Pads / Hold Down Interfaces / H.D.A. Supply | Corrosion Protection “See Corrosion Protection”. | Interfaces follow adjoining steel. |
| CSA PHASE 2 | DCH External Steelwork/Metalwork PH2 – Corrosion Protection | Galvanizing and C4 finishes to EN ISO 12944-2 and EN ISO 1461 for external items. | External access steel kept under C4 regime. |
| CSA PHASE 2 | DCH Envelope Secondary Steel / External Windows & Doors PH2 – Corrosion Protection | “See Corrosion Protection”. | Envelope secondary/door frames follow project coatings. |
| CSA PHASE 3 | DCH - Envelope PH3 – Corrosion Protection | Coating systems for external secondary steel meeting C4; temporary protection and repair allowances. | Emphasizes repair/temporary protection for long programme phases. |
| CSA PHASE 3 | MYD / Gantry PH3 – Corrosion Protection | Gantry/supports galvanized with touch-up; C4 classification. | Continues full galvanizing. |
| CSA PHASE 3 | Gantry Pads / Interfaces / H.D.A. / Additional Steps & Ramps / Louvres / Roof AOVs / Site Dev / Fuel Oil Offloading | Corrosion Protection “See Corrosion Protection”. | Interfaces and misc items follow adjacent classification. |
| CSA PHASE 4 | DCH - Envelope PH4 – Corrosion Protection | C4 external coating and/or galvanizing for envelope secondary steel. | Final envelope works explicitly under C4. |
| CSA PHASE 4 | Cooling Tower Gantry - Structural Steel PH4 – Corrosion Protection | Galvanizing and touch-up to EN ISO 1461; C4 environment as earlier gantry phases. | Confirms full gantry galvanizing through Phase 4. |
| CSA PHASE 4 | Cooling Tower Gantry - Pad Foundations & Plinths / Interfaces / H.D.A. | Corrosion Protection “See Corrosion Protection”. | Interface steel adopts neighbouring regime. |
| CSA PHASE 4 | Cooling Tower Gantry Access Steel PH4 – Corrosion Protection | C4 coatings and galvanizing for access steel to EN ISO 12944-2 and EN ISO 1461. | Access steel explicitly C4 galvanized/coated. |
| CSA PHASE 4 | DCH External Windows & Doors PH4 – Corrosion Protection | “See Corrosion Protection”. | Door frames follow façade steel regime. |
| CSA-RSA PHASE 1 | Security Fence – Corrosion Protection | External security fence fabrications expected to be C4 protected with galvanizing/paint to EN ISO 12944-2 and EN ISO 1461. | Confirms RSA perimeter under C4 regime. |


## 5. TRADE PACKAGE: METAL FABRICATIONS (STAIRS / RAILINGS / GRATINGS)

**Baseline Scope:**
- General access and safety steelwork:
  - Stairs, ramps, ladders, walkways, handrails, guardrails and guards to EN ISO 14122 (access to machinery and industrial equipment).
  - Roof access walkways and steps also to EN 516 where relevant.
- Materials and components:
  - Structural sections to EN 10025 and EN 10210; pipes/handrails/posts to ISO 4200, ISO 10799 as noted.
  - Bar/open mesh gratings to NAAMM MBG 531/532; typical 30 mm open mesh grating for decks.
- Functional scope:
  - Internal and external stairs, mixed internal/external stairs, parapet stairs, small roof stairs, roof hop-over steps.
  - Cat ladders, cooling tower stairs, bumper rails, roof walkways, smoke vent & AOV upstand guards, parapet guards.
  - Miscellaneous supports for canopies, downpipe guards, Eurobond/Euroclad/Kingspan panel edges, louvre frames, drainage components, roller shutter frames.
  - Bollards, crash protection steel, fence/gate frames and posts are treated as miscellaneous metal fabrications where not in proprietary systems.
- Corrosion: internal painted or galvanized to C2; external typically C4 galvanized/paint per EN ISO 12944-2 and EN ISO 1461, with touch-up per EN ISO 17463.

**Scope Variations / Inclusions:**
| Phase | Zone | Scope Description | Deviation / Note |
|-------|------|-------------------|------------------|
| CSA PHASE 1 | FSA - Structural Steel – Metal Fabrications | Internal structural steel stair(s) and miscellaneous access steel coordinated with foundations. | Internal stair/access elements integrated with primary frame. |
| CSA PHASE 1 | FSA - Metal Fabrications | Metal stairs, ramps, handrails, guards to EN ISO 14122; materials to EN 10025/EN 10210/ISO 4200; bar gratings to NAAMM MBG 531/532; includes misc external/roof steel such as stairs, cat ladders, hop-over steps, railings and gratings. | Core baseline for stairs/railings/gratings. |
| CSA PHASE 1 | FSA - Envelope – Metal Fabrications | Metal ladders and access components to EN ISO 14122; misc envelope metalwork including canopy supports, downpipe guards, edge angles; galvanizing/fabrication tolerances coordinated with cladding. | Focus on cladding-related access/support metalwork. |
| CSA PHASE 1 | FSA - Roof – Metal Fabrications | Roof access walkways and steps to EN 516 and EN ISO 14122; rules for gratings/handrails for roof walkways, smoke vent upstands, access and parapet guards, integrated with roof steel. | Specialist roof access and guarding metalwork. |
| CSA PHASE 1 | DCH - Structural Steel PH1 – Metal Fabrications | Metal stairs/ramps, ladders, guardrails to EN ISO 14122; includes external stair(s), cat ladders, roof hop-over steps, bollards; external items galvanized and suitable for C4. | DCH-specific access steel and bollards. |
| CSA PHASE 1 | DCH - Envelope PH1 – Metal Fabrications | Downpipe guards, misc supports, canopy supports, louvre support steel as miscellaneous fabrications; grating standards where open flooring appears. | Envelope fixtures categorized as metalwork. |
| CSA PHASE 1 | DCH - Roof PH1 – Metal Fabrications | Roof access installations to EN 516/EN ISO 14122; gratings/handrails for roof walkways and hop-over steps linked to roof steel and deck. | DCH roof access system. |
| CSA PHASE 1 | Generator Trench Structural Steel – Metal Fabrications | “See Metal Fabrications”. | Any associated ladders/guards treated under global metalwork. |
| CSA PHASE 1 | USS Trench Structural Steel – Metal Fabrications | “See Metal Fabrications”. | No unique additions noted. |
| CSA PHASE 1 | Cooling Tower Gantry - Structural Steel PH1 – Metal Fabrications | Stairs, ramps, handrails to EN ISO 14122; gratings to NAAMM MBG 531/532; external stairs, ladders, railings and 30 mm open mesh grating decks for gantry access designed/galvanized for C4. | Dedicated gantry access system. |
| CSA PHASE 1 | MYD - Densified - Water Cooled Structural Steel PH1 – Metal Fabrications | Gantry stairs, cat ladders, railings and grating platforms for MYD densified plant; stairs/ladders to EN ISO 14122; bar grating to NAAMM MBG 531/532. | MYD-specific access structures. |
| CSA PHASE 1 | EYD Foundations PH1 / Gantry Pads / H.D.A. Supply | Metal Fabrications “See Metal Fabrications”. | Only interfaces – no direct fabrications listed. |
| CSA PHASE 1 | Site Development PH1 (Fencing and Bollards CSA PH1) – Metal Fabrications | “See Metal Fabrications”. | Bollards/gates treated under global metalwork rules. |
| CSA PHASE 1 | DCH & FSA Cladding Secondary Steel PH1 – Metal Fabrications | “See Metal Fabrications”. | Cladding supports/louvres under misc metalwork where applicable. |
| CSA PHASE 1 | Steel Decking FSA/DCH PH1 – Metal Fabrications | “See Metal Fabrications”. | Access steel on deck covered elsewhere. |
| CSA PHASE 1 | FSA/DCH Intumescent Protection PH1 – Metal Fabrications | “See Metal Fabrications”. | No change. |
| CSA PHASE 1 | USS Trench Structural Steel (duplicate) | “See Metal Fabrications”. | As above. |
| CSA PHASE 1 | Steel Supports in EYD Slabs / Gantry – Steel Foundations Interface | “See Metal Fabrications”. | Ladders/guards not separately itemized. |
| CSA PHASE 1 | FSA & DCH External Steelwork/Metalwork PH1 – Metal Fabrications | Detailed standards and fabrication for permanent external stairs, cat ladders, roof walkways, bumper railings and open mesh gratings, including mixed internal/external stairs, all to EN ISO 14122 and relevant grating standards. | Consolidated external access metalwork package for FSA & DCH. |
| CSA PHASE 1 | DCH global zones / EYD global / Site Dev global | “See Metal Fabrications”. | Cross-references only. |
| CSA PHASE 1 | Security Fence & RSA Steel Works PH1 – Metal Fabrications | “See Metal Fabrications”. | Fence rails/gates follow global metalwork rules. |
| CSA-RSA PHASE 1 | RSA - Security Fence & Infrastructure – Metal Fabrications | “See Metal Fabrications”. | Miscellaneous fence/gate steel as metalwork. |
| CSA-SSA PHASE 1 | SSA - Load Bank Garage & Fuel Polishing Building Roof – Metal Fabrications | Fixed ladders and guardrails for SSA roof access to EN ISO 14122; C4 coating requirements aligned with external fabrications. | Small dedicated SSA roof access package. |
| CSA-SSA PHASE 1 | SSA - Structural Steel / Envelope / Foundations / Site Development / AHU Foundation – Metal Fabrications | “See Metal Fabrications”. | Bollards/guards and minor items assumed under global rules. |
| CSA PHASE 2 | DCH - Structural Steel PH2 – Metal Fabrications | Metal stairs, ramps, ladders, handrails to EN ISO 14122; C4 finishes for external installations; includes external cat ladders, balustrades, bollards, parapet stairs, small roof stairs and additional steps/ramps in MCP/USS areas. | Expands access steel into MCP/USS areas. |
| CSA PHASE 2 | DCH - Envelope PH2 – Metal Fabrications | Access ladders and rails to EN ISO 14122; misc frames/supports for louvres and drainage components. | Envelope-related access and support fabrications. |
| CSA PHASE 2 | DCH - Roof PH2 – Metal Fabrications | Roof walkways and small stairs over parapets; roof access and grating requirements for Phase 2 roof areas. | Roof access expansion for Phase 2. |
| CSA PHASE 2 | MYD - Structural Steel PH2 – Metal Fabrications | Additional railings, cat ladders, cooling tower stairs and grating decks on gantries; standards to EN ISO 14122 and NAAMM. | Additional gantry access steel. |
| CSA PHASE 2 | Cooling Tower Gantry - Structural Steel PH2 – Metal Fabrications | Cat ladders, cooling tower stairs, railings and 30 mm grating decks as per Phase 1 gantry access steel. | Continuation of gantry access system. |
| CSA PHASE 2 | Gantry Pads / Interfaces / H.D.A. | Metal Fabrications “See Metal Fabrications”. | No direct new items. |
| CSA PHASE 2 | DCH External Steelwork/Metalwork PH2 – Metal Fabrications | Stairs, ladders, guardrails and bollards to EN ISO 14122 and project standards. | DCH Phase 2 external access/bollard package. |
| CSA PHASE 2 | DCH Envelope Secondary / External Windows & Doors PH2 – Metal Fabrications | “See Metal Fabrications”. | Door frames, louvre supports covered by global rules. |
| CSA PHASE 3 | DCH - Structural Steel PH3 – Metal Fabrications | External stairs from ground to roof and associated metalwork; detailing per EN ISO 14122 and stair/ramp metalwork section. | Significant external stair package for Phase 3. |
| CSA PHASE 3 | DCH - Envelope PH3 – Metal Fabrications | Louvres supported by misc steel; applicable metal fabrication standards. | Louvres supports as metalwork. |
| CSA PHASE 3 | DCH - Roof PH3 – Metal Fabrications | “See Metal Fabrications”. | Roof access follows established standards. |
| CSA PHASE 3 | MYD - Structural Steel PH3 – Metal Fabrications | Cat ladders, gantry emergency stairs, cooling tower stairs, railings, open mesh grating and bumper railings for chillers to EN ISO 14122 and grating standards. | Extensive gantry/chiller access system. |
| CSA PHASE 3 | Cooling Tower Gantry - Structural Steel PH3 – Metal Fabrications | Cat ladders, emergency and cooling tower stairs, railings, 30 mm grating decks, bumper railings consistent with prior gantries. | Continuation of gantry access system. |
| CSA PHASE 3 | Gantry Pads / Interfaces / H.D.A. | Metal Fabrications “See Metal Fabrications”. | No direct additions. |
| CSA PHASE 3 | Additional Steps and Ramps with Handrails PH3 – Metal Fabrications | Metal stairs and ramps with handrails for MCP/USS access; bridge-type roof access steel coordinated with waterproofing; EN ISO 14122; C4 finishes. | Dedicated MCP/USS access structures. |
| CSA PHASE 3 | Louvres for Smoke Extract PH3 – Metal Fabrications | “See Metal Fabrications”. | Louvres supported by misc steel as per envelope section. |
| CSA PHASE 3 | Roof AOV’s and penetrations PH3 – Metal Fabrications | “See Metal Fabrications”. | Access guards/frames as metalwork. |
| CSA PHASE 3 | CSA PHASE 3 Site Development – Metal Fabrications | “See Metal Fabrications”. | Bollards/crash protection under metalwork standards. |
| CSA PHASE 3 | Fuel Oil Offloading Area - EYD PH3 – Metal Fabrications | “See Metal Fabrications”. | Any platforms/guards follow global rules. |
| CSA PHASE 4 | DCH - Structural Steel PH4 – Metal Fabrications | Remaining cat ladders, parapet stairs, small roof stairs and final bollards or external steel items; stairs/ramps, ladders and handrails to EN ISO 14122. | Completes DCH access and protection steel. |
| CSA PHASE 4 | DCH - Envelope PH4 / Roof PH4 – Metal Fabrications | “See Metal Fabrications”. | Roof/envelope access/guards as per earlier phases. |
| CSA PHASE 4 | Cooling Tower Gantry - Structural Steel PH4 – Metal Fabrications | Cat ladders, cooling tower stairs, railings and open mesh grating as per earlier gantry phases. | Final gantry access elements. |
| CSA PHASE 4 | Gantry Pads / Interfaces / H.D.A. | Metal Fabrications “See Metal Fabrications”. | Interfaces only. |
| CSA PHASE 4 | Cooling Tower Gantry Access Steel PH4 – Metal Fabrications | External stairs/ramps, ladders and handrails; grating for gantry access; EN ISO 14122 and NAAMM grating standards. | Explicit access steel package for Phase 4 gantries. |
| CSA PHASE 4 | DCH External Windows & Doors PH4 – Metal Fabrications | “See Metal Fabrications”. | Metal door/shutter frames as misc fabrications. |
| CSA-RSA PHASE 1 | Security Fence – Metal Fabrications | “See Metal Fabrications”. | Fence rails/handrails as metalwork. |
| CSA-RSA PHASE 1 | SSA global zones / SSA Foundations / SSA Site Development / AHU Foundation – Metal Fabrications | “See Metal Fabrications”. | Minor steps/bollards/guards handled under global standards. |


## GLOBAL INCONSISTENCIES (ESTIMATING RISK REGISTER)

| ID | Trade Package | Issue | Risk | Estimating Action |
|----|---------------|-------|------|-------------------|
| 1  | Fire Protection | Different fire ratings by area: 2-hour for FSA/DCH PH1, 1-hour (R60) for later DCH phases and trenches; external gantries non-fire-rated except where drawings demand. | High | Separate quantities and rates by zone/rating; confirm with fire strategy which members (including secondary steel) require intumescent, and validate that gantry steel is indeed largely unprotected. |
| 2  | Structural Steel | Numerous “interface-only” scopes (H.D.A., kickers, dowels, grout) vs full frames; some zones cross-referenced only (“See Structural Steel”) without explicit duplication. | Medium | Build a clear interface vs frame responsibility matrix per zone; ensure H.D.A. supply/installation is not double-counted or omitted between concrete and steel packages. |
| 3  | Composite Decking | Decking referenced generically (“See Composite Decking”) across many zones; explicit profiles only for TATA D60 and Kingspan RD 100/825; roof panel systems (Euroclad/Euroclad 280 mm) overlay existing deck in later phases. | Medium | Quantify deck only where explicitly required; verify with design whether any infill or replacement deck is needed in phases that extend existing roofs; clarify if any composite floor decking is included or if scope is roof-only. |
| 4  | Corrosion Protection | Mixed use of paint vs galvanizing with C2/C4 classifications; exclusions for surfaces against concrete and fireproofed areas; multiple references to “See Corrosion Protection” without local detail. | High | Produce a zone-by-zone corrosion schedule (C2 vs C4; galvanize vs paint vs intumescent compatible primers); check overlaps with fire protection and confirm treatment for minor items (H.D.A., small brackets, door frames). |
| 5  | Metal Fabrications | Many access and miscellaneous items grouped under high-level “See Metal Fabrications”; some items (bollards, fence posts, crash protection) appear both under structural and metalwork narrative. | Medium | Develop a dedicated metalwork BOQ segregating: internal stairs, external access, gantry access, bollards/crash barriers, fencing/gates, cladding supports; align with structural package to avoid double counting. |
| 6  | Structural Steel / Fencing | Security fence posts and gates described as miscellaneous steel; no proprietary chainlink system specification given; RSA and CSA-RSA scopes overlap. | Medium | Clarify with design whether fence mesh/hardware is by others; price posts/gates as fabricated steel only unless told otherwise; check whether CSA and CSA-RSA scopes are cumulative or alternative. |
| 7  | Phase Integration (DCH & Gantry) | DCH structural frames and cooling tower gantries are extended across Phases 1–4 with repeated “same as earlier phases” wording; integration and interfaces may drive temporary works and phasing costs. | Medium | Allow for connection modifications, temporary stability and tying into existing steel; request framing/connection drawings per phase to confirm additional steel vs reuse; separate prelims for multi-phase erection. |
| 8  | Roof Openings / Deck Modifications | Later roof phases (DCH PH2–PH4) emphasize restrictions on additional openings and welding quality in existing deck; AOVs/louvres/penetrations use misc steel framing. | High | Quantify opening frames separately; clarify who cuts deck and reinstates coatings; include contingency for engineering-reviewed strengthening around penetrations. |
| 9  | SSA Building | SSA structural frame is fully galvanized and supports Kingspan RD 100/825 deck and envelope metalwork; fire protection is “See Fire Protection” with no explicit rating. | Medium | Confirm required fire rating (if any) for SSA frame; adjust system (intumescent vs galvanizing-only) accordingly; ensure deck fixings and penetrations are compatible with galvanizing. |

END_OF_REPORT
